Alsace, Champagne-Ardenne, Lorraine
Aquitaine, Limousin, Poitou-Charentes
Auvergne, Rhône-Alpes
Bourgogne, Franche Comté
Languedoc-Roussillon, Midi-Pyrénées
Nord-Pas-de-Calais, Picardie
Basse-Normandie, Haute-Normandie
Bretagne,
Corse,
Centre,
Île-de-France,
Pays de la Loire,
Provence-Alpes-Côte d'Azur.
